,names,info
0,102 далматинца,"США, Великобритания, 2000, комедия, приключения, семейный"
1,"10,5 баллов: Апокалипсис","США, Канада, 2006, драма, триллер, фантастика"
2,10.5 баллов,"США, 2004, драма, боевик"
3,107 матерей,"Словакия, Украина, Чешская Республика, 2021, документальный"
4,109-й идет без остановки,"Япония, 1975, драма, триллер, криминал"
5,10 братьев Шаолиня,"Гонконг, 1977, драма, боевик"
6,10 великолепных убийц,"Гонконг, 1977, драма, боевик"
7,"10 вещей, которые я ненавижу в жизни","США, 2014, мелодрама, комедия"
8,10 грязных поступков,"США, 2005, комедия"
9,10 дней без любви,"Испания, 2001, мелодрама, комедия"
10,10 дней с Сантой,"Италия, 2020, комедия, семейный"
11,10-летний план,"США, 2014, мелодрама, комедия"
12,10 лет в Таиланде,"Гонконг, 2018, драма"
13,10 лет после войны,"Норвегия, 2011, документальный"
14,10 лет спустя,"США, 2010, драма, комедия"
15,10 лет спустя,"США, 2012, драма, мелодрама, комедия"
16,10 мгновений судьбы,"Австралия, 2013, драма"
17,10 минут до полудня,"США, 2006, триллер, криминал"
18,10 минут спустя,"США, Канада, 2019, триллер, детектив, криминал"
19,10 минут,"США, 2010, комедия"
20,10% мой ребенок,"Израиль, 2014, драма, комедия, семейный"
21,10 на 10,"Великобритания, 2017, триллер"
22,10 обещаний моей собаке,"Япония, 2008, драма, мелодрама, комедия"
23,10 правил,"Чешская Республика, 2014, мелодрама, комедия"
24,10 правил соблазнения,"Италия, 2012, комедия"
25,10 причин моей ненависти,"США, 1999, мелодрама, комедия"
26,10 сантиметров жизни,"Россия, 2014, драма, документальный"
27,10 свиданий,"США, 2020, мелодрама, комедия"
28,10 секунд на победу,"Бразилия, 2018, драма, спорт"
29,10 секунд,"Великобритания, 2005, комедия"
30,10 секунд,"США, 1998, триллер"
31,10 террористов,"Австралия, 2012, комедия"
32,10 шагов к успеху,"США, 2006, драма, мелодрама, комедия"
33,1+1,"Франция, 2011, драма, комедия, биография"
34,1:1,"Дания, Великобритания, 2006, драма"
35,11:11,"Канада, 2004, триллер, ужасы"
36,11.11.11,"США, Испания, 2011, триллер, ужасы"
37,11/11/11,"США, 2011, триллер, ужасы"
38,11:14,"США, Канада, 2003, комедия, детектив, криминал"
39,1 + 1 = 3,"Югославия, 1967, короткометражный, мультфильмы"
40,113 градусов,"США, 2013, короткометражный, фантастика"
41,11:55,"США, 2016, драма, криминал"
42,11.6,"Франция, 2013, драма, триллер, криминал"
43,118 секунд до… и после,"Россия, 2014, драма, спорт"
44,119,"1994, драма"
45,1+1: Голливудская история,"США, 2017, драма, комедия"
46,11 детей из Моршина,"Украина, 2019, комедия, детектив"
47,11 друзей Оушена,"США, 1960, комедия, криминал, музыкальный"
48,11 заповедей,"Франция, 2004, комедия"
49,11 минут,"Ирландия, Польша, 2015, триллер"
,names,info
0,11 на 14,"США, Канада, 1977, драма"
1,1+1. Нарушая правила,"Аргентина, 2016, драма, комедия"
2,11 сентября,"США, Иран, Мексика, Великобритания, Франция, Япония, 2002, драма"
3,11 сентября: Отчет комиссии конгресса,"США, 2006, драма, триллер"
4,11 часов,"Южная Корея, 2013, триллер, фантастика"
5,12,"Россия, 2007, драма, триллер, военный, детектив, криминал"
6,12:01 дня,"США, 1990, фантастика"
7,12:08 к востоку от Бухареста,"Румыния, 2006, драма, комедия"
8,120 дней Боттропа,"Германия, 1997, комедия"
9,120 ударов в минуту,"Франция, 2017, драма"
10,1210,"Россия, 2012, драма"
11,"1, 2, 3, Белая мгла","США, Франция, 2007, драма, фантастика"
12,1242 — Врата на Запад,"Венгрия, 2022, боевик, исторический"
13,125 км до Мумбаи 3D,"Индия, 2014, ужасы"
14,127 часов,"США, Великобритания, 2010, драма, триллер, биография, приключения"
15,128 ударов сердца в минуту,"США, Великобритания, Франция, 2015, драма, мелодрама, музыкальный"
16,12 жизней Сисси Карлайл,"США, 2017, драма, комедия"
17,12 золотых медальонов,"Гонконг, 1970, драма, боевик"
18,12-й человек,"Норвегия, 2017, драма, военный"
19,12 лет рабства,"США, Великобритания, 2013, драма, биография, исторический"
20,12 мелодий любви,"Франция, 2017, мелодрама"
21,12 месяцев,"Россия, 2013, комедия"
22,12 месяцев. Новая сказка,"Россия, 2014, фэнтези"
23,12 метров без головы,"Германия, 2009, драма, комедия, биография, исторический, приключения"
24,12 могучих сирот,"США, 2021, исторический, спорт"
25,12 обезьян,"США, 1995, триллер, фантастика"
26,12 подарков на Рождество,"США, 2015, мелодрама, комедия"
27,12 подвигов Астерикса,"Франция, 1976, комедия, боевик, мультфильмы, приключения, семейный, фэнтези"
28,12 разгневанных ливанцев,"Ливан, 2009, драма"
29,12 разгневанных мужчин,"США, 1997, драма, криминал"
30,12 раундов 3,"США, 2015, триллер, боевик"
31,12 раундов: Перезагрузка,"США, 2013, боевик"
32,12 раундов,"США, 2009, триллер, боевик, криминал"
33,"12 ребят, которые хотят умереть","Япония, 2019, триллер, детектив"
34,12 рождественских собак,"США, 2005, семейный"
35,12 рождественских свиданий,"США, 2011, мелодрама, комедия, фэнтези"
36,12 Рождественских желаний,"США, 2011, комедия, фэнтези"
37,12 рождественских собак 2,"США, 2012, комедия, семейный"
38,12 стульев,"Куба, 1962, комедия"
39,12 стульев,"Германия, 2004, комедия"
40,12 футов глубины,"США, 2016, триллер"
41,12-часовая смена,"США, 2020, комедия, триллер, ужасы"
42,12 часов,"2001, драма, комедия, музыкальный"
43,1/2 человека,"Япония, 1986, документальный, музыкальный"
44,13,"Таиланд, 2006, драма, комедия, триллер, криминал, ужасы"
45,13,"США, 2010, драма, триллер"
46,13/13/13,"США, 2013, ужасы"
47,13-ая жертва,"США, 2008, ужасы"
48,13Б: У страха новый адрес,"Индия, 2009, драма, триллер, ужасы"
49,13 грехов,"США, 2014, триллер, ужасы"
